title,year,genre,rating,director,poster,description
The Shawshank Redemption,1994,Drama,9.3,Frank Darabont,https://images.unsplash.com/photo-1478720568477-152d9b164e26?w=300&h=450&fit=crop,Two imprisoned men bond over a number of years finding solace and eventual redemption.
The Godfather,1972,Crime,9.2,Francis Ford Coppola,https://images.unsplash.com/photo-1535016120720-40c646be5580?w=300&h=450&fit=crop,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
The Dark Knight,2008,Action,9.0,Christopher Nolan,https://images.unsplash.com/photo-1509347528160-9a9e33742cdb?w=300&h=450&fit=crop,Batman faces the Joker in a battle for Gotham's soul.
Pulp Fiction,1994,Crime,8.9,Quentin Tarantino,https://images.unsplash.com/photo-1594908900066-3f47337549d8?w=300&h=450&fit=crop,Various interconnected stories of Los Angeles criminals and their associates.
Forrest Gump,1994,Drama,8.8,Robert Zemeckis,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=300&h=450&fit=crop,The presidencies of Kennedy and Johnson unfold through the perspective of an Alabama man.
Inception,2010,Sci-Fi,8.8,Christopher Nolan,https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=300&h=450&fit=crop,A thief who steals corporate secrets through dream-sharing technology.
The Matrix,1999,Sci-Fi,8.7,Wachowski Sisters,https://images.unsplash.com/photo-1574267432644-f74f8ec55ae1?w=300&h=450&fit=crop,A computer hacker learns about the true nature of reality.
Interstellar,2014,Sci-Fi,8.6,Christopher Nolan,https://images.unsplash.com/photo-1419242902214-272b3f66ee7a?w=300&h=450&fit=crop,A team of explorers travel through a wormhole in space.
Gladiator,2000,Action,8.5,Ridley Scott,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=300&h=450&fit=crop,A former Roman General seeks vengeance against the corrupt emperor.
The Prestige,2006,Drama,8.5,Christopher Nolan,https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=300&h=450&fit=crop,Two stage magicians engage in competitive one-upmanship.
The Departed,2006,Crime,8.5,Martin Scorsese,https://images.unsplash.com/photo-1485846234645-a62644f84728?w=300&h=450&fit=crop,An undercover cop and a mole in the police force try to identify each other.
The Lion King,1994,Animation,8.5,Roger Allers,https://images.unsplash.com/photo-1556103255-4443dbae8e5a?w=300&h=450&fit=crop,Lion prince flees his kingdom only to learn the true meaning of responsibility.
Avengers Endgame,2019,Action,8.4,Russo Brothers,https://images.unsplash.com/photo-1635805737707-575885ab0820?w=300&h=450&fit=crop,The Avengers assemble once more to reverse Thanos' actions.
Parasite,2019,Thriller,8.6,Bong Joon-ho,https://images.unsplash.com/photo-1524985069026-dd778a71c7b4?w=300&h=450&fit=crop,Greed and class discrimination threaten the newly formed symbiotic relationship.
Whiplash,2014,Drama,8.5,Damien Chazelle,https://images.unsplash.com/photo-1511379938547-c1f69419868d?w=300&h=450&fit=crop,A young drummer enrolls at a cut-throat music conservatory.
La La Land,2016,Musical,8.0,Damien Chazelle,https://images.unsplash.com/photo-1514320291840-2e0a9bf2a9ae?w=300&h=450&fit=crop,A jazz pianist and an aspiring actress fall in love in Los Angeles.
Dune,2021,Sci-Fi,8.0,Denis Villeneuve,https://images.unsplash.com/photo-1598153346810-860daa814c4b?w=300&h=450&fit=crop,Paul Atreides arrives on Arrakis after his father accepts stewardship of the planet.
Joker,2019,Drama,8.4,Todd Phillips,https://images.unsplash.com/photo-1594744803329-e58b31de8bf5?w=300&h=450&fit=crop,A failed comedian begins his descent into mental illness.
Spider-Man: Into the Spider-Verse,2018,Animation,8.4,Bob Persichetti,https://images.unsplash.com/photo-1608889476561-6242cfdbf622?w=300&h=450&fit=crop,Teen Miles Morales becomes Spider-Man and joins other Spider-People.
Everything Everywhere All at Once,2022,Sci-Fi,7.8,Daniels,https://images.unsplash.com/photo-1616530940355-351fabd9524b?w=300&h=450&fit=crop,An aging Chinese immigrant swept up in an insane adventure.
